,Topic,Count,Name,Representation,KeyBERT,MMR,pos,Representative_Docs
10,9,186,9_breakfast_morning_buffet_breakfasts,"['breakfast', 'morning', 'buffet', 'breakfasts', 'included', 'restaurant', 'menu', 'package', 'bread', 'was']","['breakfast', 'breakfasts', 'lunch', 'morning', 'dinner', 'toast', 'food', 'ate', 'bread', 'eggs']","['breakfast', 'morning', 'buffet', 'breakfasts', 'included', 'restaurant', 'menu', 'package', 'bread', 'was']","['breakfast', 'morning', 'buffet', 'breakfasts', 'restaurant', 'menu', 'package', 'bread', 'price', 'room']","['Breakfast was nice', '-breakfast', 'breakfast']"
11,10,180,10_bar_drinks_lounge_drink,"['bar', 'drinks', 'lounge', 'drink', 'cocktails', 'bartender', 'club', 'cocktail', 'lobby', 'jazz']","['drinks', 'cocktails', 'bartenders', 'beverages', 'bar', 'lounge', 'bartender', 'cocktail', 'bars', 'restaurant']","['bar', 'drinks', 'lounge', 'drink', 'cocktails', 'bartender', 'club', 'cocktail', 'lobby', 'jazz']","['bar', 'drinks', 'lounge', 'drink', 'cocktails', 'bartender', 'club', 'cocktail', 'lobby', 'jazz']","['The drinks were great in the lobby lounge', 'Drinks at the bar were wonderful', 'We also had drinks in the lobby bar and enjoyed our time with excellent service']"
12,11,171,11_di_il_la_che,"['di', 'il', 'la', 'che', 'molto', 'con', 'non', 'per', 'al', 'un']","['posizione', 'delle', 'disposizione', 'colazione', 'nella', 'della', 'questo', 'spaziose', 'una', 'soggiornato']","['di', 'il', 'la', 'che', 'molto', 'con', 'non', 'per', 'al', 'un']","['molto', 'non', 'camere', 'sono', 'personale', 'colazione', 'camera', 'ogni', 'dalla', 'prima']","[""Premesso che l'hotel è di grande livello e le 5 stelle sono ben meritate, ci ha stupito che nonostante la prenotazione fosse stata richiesta e pagata per una tripla, una volta arrivate alla reception l'addetta ci ha risposto che avevano soltanto il letto matrimoniale king size e che non sapeva proprio dove avrebbe dormito la terza persona"", ""Se avete dei dubbi tra questo o un altro hotel, l'altra alternativa potrebbe essere il Beverly Wilshire sempre del Four Season che è molto bello anche se più turistico (per modo di dire) nel senso che questo è frequentato più dal crowd di Beverly Hills"", ""Colazioni molto ben presentate al buffet e a richiesta di tutto e di più ! Il loro ristorante e' di alto livello ed i costi in linea con il menu !!! In ogni caso una gra bella esperienza""]"
13,12,155,12_bed_comfortable_pillows_beds,"['bed', 'comfortable', 'pillows', 'beds', 'linens', 'comfy', 'sheets', 'soft', 'firm', 'mattress']","['beds', 'comfortable', 'bed', 'bedding', 'mattress', 'pillows', 'pillow', 'comfy', 'comforter', 'uncomfortable']","['bed', 'comfortable', 'pillows', 'beds', 'linens', 'comfy', 'sheets', 'soft', 'firm', 'mattress']","['bed', 'comfortable', 'pillows', 'beds', 'linens', 'comfy', 'sheets', 'soft', 'firm', 'mattress']","['The bed is very comfortable', 'Bed and pillows very comfortable', 'The bed and pillows are very comfortable']"
14,13,146,13_noise_quiet_hear_loud,"['noise', 'quiet', 'hear', 'loud', 'street', 'noisy', 'was', 'room', 'heard', 'outside']","['quietest', 'noisy', 'noise', 'rooms', 'quiet', 'room', 'hallway', 'loud', 'halls', 'louder']","['noise', 'quiet', 'hear', 'loud', 'street', 'noisy', 'was', 'room', 'heard', 'outside']","['noise', 'quiet', 'loud', 'street', 'noisy', 'room', 'outside', 'traffic', 'floor', 'hallway']","['So I had no view, but also no street noise, which was good', 'It was quieter than I expected (knowing there would be street noise anywhere), and there was no room-to-room noise and very little hallway noise', 'A view of the river would have been nice! The rooms were very quiet -- no street noise, no hallway noise']"
15,14,141,14_staff_hotel_friendly_helpful,"['staff', 'hotel', 'friendly', 'helpful', 'guest', 'guests', 'and', 'is', 'make', 'this']","['hotels', 'hotel', 'hospitality', 'guests', 'staff', 'friendly', 'employees', 'pleasant', 'guest', 'concierge']","['staff', 'hotel', 'friendly', 'helpful', 'guest', 'guests', 'and', 'is', 'make', 'this']","['staff', 'hotel', 'friendly', 'helpful', 'guest', 'guests', 'moment', 'accommodating', 'front', 'luxury']","['All of the hotel staff we encountered were very friendly and helpful!', 'The hotel was beautiful, staff very friendly', 'All in all a very good hotel and the staff a very friendly and helpful staff']"
16,15,141,15_service_customer_impeccable_friendly,"['service', 'customer', 'impeccable', 'friendly', 'exceptional', 'level', 'was', 'experienced', 'outstanding', 'excellent']","['service', 'services', 'served', 'customer', 'outstanding', 'fantastic', 'incredible', 'superb', 'great', 'best']","['service', 'customer', 'impeccable', 'friendly', 'exceptional', 'level', 'was', 'experienced', 'outstanding', 'excellent']","['service', 'customer', 'impeccable', 'friendly', 'exceptional', 'level', 'outstanding', 'excellent', 'detail', 'staff']","['Service was great', 'The service was great', 'service']"
17,16,130,16_suite_upgraded_king_deluxe,"['suite', 'upgraded', 'king', 'deluxe', 'upgrade', 'room', 'bedroom', 'we', 'junior', 'executive']","['suite', 'suites', 'rooms', 'bedroom', 'room', 'apartment', 'furnished', 'foyer', 'studio', 'floor']","['suite', 'upgraded', 'king', 'deluxe', 'upgrade', 'room', 'bedroom', 'we', 'junior', 'executive']","['suite', 'king', 'deluxe', 'upgrade', 'room', 'bedroom', 'junior', 'executive', 'suites', 'spacious']","['Our room was a king ( I think suite as we were upgraded)', 'We were upgraded to a one-bedroom suite, with the 7', 'The suite was great']"
18,17,122,17_hotel_this_recommend_highly,"['hotel', 'this', 'recommend', 'highly', 'would', 'love', 'grand', 'loved', 'is', 'overall']","['hotels', 'hotel', 'visit', 'recommend', 'travelers', 'highrise', 'vacationing', 'vacation', 'staying', 'fantastic']","['hotel', 'this', 'recommend', 'highly', 'would', 'love', 'grand', 'loved', 'is', 'overall']","['hotel', 'grand', 'hotels', 'wonderful', 'excellent', 'travelers', 'old', 'serices', 'moderate', 'lot']","['Highly recommend this hotel', 'I highly recommend this hotel, very nice', 'I would highly recommend this hotel']"
19,18,109,18_location_hotel_located_is,"['location', 'hotel', 'located', 'is', 'square', 'close', 'restaurants', 'shopping', 'union', 'great']","['hotel', 'cafes', 'restaurants', 'downtown', 'location', 'located', 'situated', 'mall', 'central', 'town']","['location', 'hotel', 'located', 'is', 'square', 'close', 'restaurants', 'shopping', 'union', 'great']","['location', 'hotel', 'square', 'close', 'restaurants', 'shopping', 'great', 'subway', 'walk', 'downtown']","['The location of the hotel is perfect', 'The location of the hotel was close to many fine restaurants, the best of shopping, and Central Park', 'The location of the hotel is great']"
20,19,109,19_spa_massage_massages_use,"['spa', 'massage', 'massages', 'use', 'treatment', 'the', 'great', 'have', 'is', 'was']","['spa', 'resort', 'massage', 'massages', 'facilities', 'luxurious', 'facility', 'hotel', 'best', 'fabulous']","['spa', 'massage', 'massages', 'use', 'treatment', 'the', 'great', 'have', 'is', 'was']","['spa', 'massage', 'massages', 'treatment', 'great', 'package', 'part', 'minute', 'wonderful', 'hotel']","['The Spa was great also', 'The spa is very nice', 'great spa']"
21,20,108,20_rooms_are_spacious_comfortable,"['rooms', 'are', 'spacious', 'comfortable', 'decorated', 'appointed', 'room', 'beds', 'size', 'well']","['rooms', 'room', 'spacious', 'beds', 'amenities', 'furnished', 'furnishings', 'cozy', 'comfortable', 'sofa']","['rooms', 'are', 'spacious', 'comfortable', 'decorated', 'appointed', 'room', 'beds', 'size', 'well']","['rooms', 'spacious', 'comfortable', 'room', 'beds', 'size', 'large', 'decor', 'nice', 'amenities']","['The rooms are large, clean and the beds are comfortable', 'Rooms', 'The rooms are great']"
22,21,107,21_food_delicious_tasty_meal,"['food', 'delicious', 'tasty', 'meal', 'was', 'excellent', 'tuna', 'salmon', 'crab', 'good']","['meals', 'meal', 'food', 'tasty', 'delicious', 'tasted', 'dietary', 'restaurant', 'dinner', 'ate']","['food', 'delicious', 'tasty', 'meal', 'was', 'excellent', 'tuna', 'salmon', 'crab', 'good']","['food', 'delicious', 'tasty', 'meal', 'excellent', 'tuna', 'salmon', 'crab', 'good', 'dinner']","['The food was excellent', 'The food was excellent', 'The food was delicious']"
23,22,107,22_rate_rates_price_night,"['rate', 'rates', 'price', 'night', 'pay', 'per', 'for', 'booked', 'paying', 'expedia']","['rates', 'rate', 'hotel', 'booking', 'discount', 'paying', 'pricey', 'cheap', 'paid', 'pay']","['rate', 'rates', 'price', 'night', 'pay', 'per', 'for', 'booked', 'paying', 'expedia']","['rate', 'rates', 'price', 'night', 'expedia', 'expensive', 'good', 'more', 'worth', 'discount']","['I was there for business, and we actually had a very good rate, that I would have paid if I had been paying on my own', 'On our first trip we booked through Expedia and got a really good rate, the problem with that was that rate gave you probably the worse room in the hotel--low floor, no window in the bathroom, in fact the bathroom looked nothing like the cool ones on the website', 'I did not pay for the room, but I inquired about the rates in season and felt that the quoted rate would be a very good value for this hotel']"
24,23,102,23_el_que_de_en,"['el', 'que', 'de', 'en', 'muy', 'la', 'es', 'para', 'los', 'una']","['habitación', 'habitaciones', 'calidad', 'realmente', 'excelente', 'cuando', 'estado', 'ubicacion', 'ubicación', 'como']","['el', 'que', 'de', 'en', 'muy', 'la', 'es', 'para', 'los', 'una']","['que', 'es', 'para', 'una', 'nos', 'por', 'pero', 'habitación', 'nuestro', 'excelente']","['El desayuno es muy variado,la calidad de todos los productos es exquisita y fresca; la atención es excelente en este lugar y en el bar, donde nos atendio una camarera que habla perfecto español y nos sugirió lugares divinos para conocer y cenar! Aunque si no tienen ganas de salir, en el mismo hotel ofrecen cena y siempre hay musica en vivo como jazz los fines de semana', '¿Que decir sobre The Plaza Hotel que ya no se haya dicho? Es cierto todo lo expresado acerca de su ubicacion; la calidad del servicio; el profesionalismo de todo el personal desde el primero al ultimo, y los detalles de lujo en las habitaciones y particularmente en los baños', 'Las habitaciones son muy amplias, la que nos tocó tenía una vista preciosa al lago Michigan, pero el baño podría ser más moderno y lo que verdaderamente nos molestó mucho durante toda nuestra estancia fue que olía a cigarro, nosotros desde que reservamos pedimos específicamente habitación de no fumadores, y supuestamente no solo la habitación era de no fumadores, sino que estaba en un piso de no fumadores, sin embargo cada vez que abríamos la puerta de nuestro cuarto, nos llegaba el tufazo a colillas viejas de cigarro, a lo mejor es porque aunque limpien a conciencia, como las alfombras y las cortinas son viejas, ya no se les quita el olor ni lavándolas']"
25,24,96,24_gym_fitness_workout_facility,"['gym', 'fitness', 'workout', 'facility', 'center', 'equipment', 'weights', 'classes', 'yoga', 'treadmills']","['gym', 'gyms', 'fitness', 'workout', 'facilities', 'hotel', 'treadmills', 'facility', 'cardio', 'exercise']","['gym', 'fitness', 'workout', 'facility', 'center', 'equipment', 'weights', 'classes', 'yoga', 'treadmills']","['gym', 'fitness', 'workout', 'facility', 'center', 'equipment', 'weights', 'classes', 'yoga', 'treadmills']","['The hotel gym is large by hotel standards and has adequate equipment for a good workout', 'The gym is good, with a lot of free weights, which is unusual in a hotel gym', 'Good gym']"
26,25,88,25_hotel_decor_historic_renovated,"['hotel', 'decor', 'historic', 'renovated', 'modern', 'beautiful', 'is', 'has', 'looks', 'building']","['hotel', 'rooms', 'elegance', 'refurbishment', 'cozy', 'renovated', 'renovation', 'decor', 'décor', 'furnishings']","['hotel', 'decor', 'historic', 'renovated', 'modern', 'beautiful', 'is', 'has', 'looks', 'building']","['hotel', 'decor', 'historic', 'modern', 'beautiful', 'building', 'interior', 'stuffy', 'old', 'history']","['The hotel itself was beautiful, and had a historic (but not stuffy) feel', 'This is a great hotel -- new, modern, beautiful rooms', 'The decor in this hotel is beautiful']"
27,26,76,26_lol_cooney_genial_russian,"['lol', 'cooney', 'genial', 'russian', 'plural', 'mmmm', 'evar', 'francis', 'vries', 'gauvin']","['lol', '', '', '', '', '', '', '', '', '']","['lol', 'cooney', 'genial', 'russian', 'plural', 'mmmm', 'evar', 'francis', 'vries', 'gauvin']","['lol', 'plural', '', '', '', '', '', '', '', '']","['Jason de Vries', 'lol', 'Lol']"
28,27,74,27_housekeeping_job_clean_turn,"['housekeeping', 'job', 'clean', 'turn', 'returned', 'did', 'keeping', 'down', 'their', 'evening']","['housekeeping', 'houskeeping', 'cleaning', 'staff', 'house', 'cleaned', 'clean', 'management', 'manager', 'job']","['housekeeping', 'job', 'clean', 'turn', 'returned', 'did', 'keeping', 'down', 'their', 'evening']","['housekeeping', 'job', 'evening', 'room', 'turndown', 'service', 'issue', 'staff', 'morning', 'water']","['Housekeeping did a GREAT job in cleaning the room', 'The housekeeping staff were wonderful', 'Housekeeping staff were all very nice']"
29,28,74,28_internet_wifi_free_wi,"['internet', 'wifi', 'free', 'wi', 'fi', 'connection', 'access', 'charge', 'wireless', 'slow']","['wifi', 'wireless', 'hotspot', 'internet', 'wi', 'ethernet', 'ipad', 'webcasts', 'connection', 'connect']","['internet', 'wifi', 'free', 'wi', 'fi', 'connection', 'access', 'charge', 'wireless', 'slow']","['internet', 'wifi', 'free', 'connection', 'access', 'charge', 'wireless', 'slow', 'only', 'ethernet']","['My only disappoint was that there is complementary wifi and access to internet in the lobby area only', 'Free wifi in the business center which was very helpful', 'You have to pay for wifi and internet access in the room for $9']"
30,29,73,29_back_will_return_be,"['back', 'will', 'return', 'be', 'definitely', 'forward', 'wait', 'll', 'returning', 'soon']","['back', 'return', 'returning', 'we', 'coming', 'will', 'again', 'stays', 'leave', 'go']","['back', 'will', 'return', 'be', 'definitely', 'forward', 'wait', 'll', 'returning', 'soon']","['relationship', 'cooler', 'today', 'fortunate', 'weather', 'following', 'week', 'home', 'much', '']","['we will be back', 'We will Be back !', 'We will be back!']"
31,30,71,30_coffee_tea_maker_nespresso,"['coffee', 'tea', 'maker', 'nespresso', 'morning', 'machine', 'no', 'minutes', 'complimentary', 'in']","['coffee', 'tea', 'keurig', 'espresso', 'nespresso', 'espressos', 'cups', 'keurigs', 'cup', 'microwave']","['coffee', 'tea', 'maker', 'nespresso', 'morning', 'machine', 'no', 'minutes', 'complimentary', 'in']","['coffee', 'tea', 'maker', 'morning', 'machine', 'minutes', 'complimentary', 'service', 'room', 'making']","['Only one negative for me--no in-room coffee or tea service', 'Complimentary coffee and tea in the lobby starting at 6 am (no coffee machines in the rooms)', 'A Nespresso coffee in the room for a coffee in the morning was just perfect']"
32,31,70,31_stay_here_overall_wonderful,"['stay', 'here', 'overall', 'wonderful', 'enjoyed', 'our', 'my', 'enjoyable', 'memorable', 'recent']","['staying', 'stay', 'stays', 'goodbye', 'enjoyed', 'memorable', 'pleasant', 'pleasantly', 'enjoyable', 'wonderful']","['stay', 'here', 'overall', 'wonderful', 'enjoyed', 'our', 'my', 'enjoyable', 'memorable', 'recent']","['stay', 'overall', 'wonderful', 'enjoyable', 'recent', 'memorable', 'excellent', 'fantastic', 'choice', 'good']","['We have had a great stay', 'but it was a great stay', 'We had a great stay']"
33,32,70,32_bags_bellman_car_valet,"['bags', 'bellman', 'car', 'valet', 'luggage', 'taxi', 'cab', 'our', 'he', 'us']","['valet', 'baggages', 'bags', 'luggage', 'taxi', 'bag', 'arriving', 'escorted', 'parked', 'greeted']","['bags', 'bellman', 'car', 'valet', 'luggage', 'taxi', 'cab', 'our', 'he', 'us']","['bags', 'bellman', 'car', 'valet', 'luggage', 'taxi', 'cab', 'doorman', 'driver', 'minutes']","['The best experience I have ever had at a hotel began from the moment I pulled up to the valet and they took our bags and car and directed us to check-in', 'Even when I carried my bags all the way down to the outside, waited for valet give me the keys even though my car was right there, I was putting my bags in my trunk and had some man trying to take them from me while I was putting them in my trunk because he obviously wanted a tip', 'A bellman/valet came right up to the taxi to get my luggage']"
34,33,70,33_desk_front_helpful_professional,"['desk', 'front', 'helpful', 'professional', 'staff', 'bell', 'concierge', 'friendly', 'doormen', 'bellmen']","['staff', 'desk', 'colleagues', 'housekeeping', 'front', 'supervisor', 'professional', 'concierge', 'doormen', 'service']","['desk', 'front', 'helpful', 'professional', 'staff', 'bell', 'concierge', 'friendly', 'doormen', 'bellmen']","['desk', 'front', 'helpful', 'professional', 'staff', 'concierge', 'friendly', 'doormen', 'bellmen', 'bellman']","['Not enough staff at the front desk', 'All staff from front door, to front desk, concierge and housekeeping was really friendly and helpful', 'Front desk staff was professional and helpful']"
35,34,67,34_lobby_gorgeous_is_small,"['lobby', 'gorgeous', 'is', 'small', 'building', 'entrance', 'the', 'fragrant', 'restaurant', 'ornate']","['lobby', 'hotel', 'ballrooms', 'restaurant', 'bar', 'diners', 'facade', 'spacious', 'cozy', 'building']","['lobby', 'gorgeous', 'is', 'small', 'building', 'entrance', 'the', 'fragrant', 'restaurant', 'ornate']","['lobby', 'gorgeous', 'small', 'building', 'entrance', 'fragrant', 'restaurant', 'ornate', 'side', 'private']","['Hotel lobby was gorgeous', 'The lobby bar is at the other end of the lobby as is the restaurant', 'The lobby area is beautiful']"
36,35,66,35_stayed_nights_august_here,"['stayed', 'nights', 'august', 'here', 'wife', '2012', 'my', 'old', 'husband', 'three']","['staying', 'stayed', 'nights', 'honeymoon', 'summer', 'night', 'stay', 'august', 'overseas', 'weekend']","['stayed', 'nights', 'august', 'here', 'wife', '2012', 'my', 'old', 'husband', 'three']","['nights', 'wife', 'old', 'husband', 'year', 'family', 'children', 'night', 'son', 'stay']","['We stayed for two nights in August', 'My wife and I stayed here for three nights', 'Stayed here for 2 nights in August']"
37,36,64,36_boston_harbor_common_our,"['boston', 'harbor', 'common', 'our', 'seasons', 'stay', 'four', 'hotel', 'to', 'garden']","['boston', 'harbor', 'hotel', 'hotels', 'trip', 'visit', 'excursions', 'place', 'wharfs', 'rental']","['boston', 'harbor', 'common', 'our', 'seasons', 'stay', 'four', 'hotel', 'to', 'garden']","['common', 'seasons', 'hotel', 'location', 'trip', 'place', 'street', 'many', 'perfect', 'children']","[""The location of Four Seasons in Boston can't be beat! It is across the street from Boston Commons, and it's easy to walk to many of the historic landmarks in Boston"", 'This was our first visit to Boston, and the Boston Harbor Hotel helped to make it a memorable one!', 'I have stayed at the Four Seasons Boston and the Mandarin in Boston']"
38,37,61,37_again_would_here_stay,"['again', 'would', 'here', 'stay', 'definitely', 'wouldn', 'price', 'probably', 'pleasure', 'heartbeat']","['stay', 'staying', 'would', 'wouldn', 'again', 'return', 'back', 'relax', 'if', 'here']","['again', 'would', 'here', 'stay', 'definitely', 'wouldn', 'price', 'probably', 'pleasure', 'heartbeat']","['price', 'pleasure', 'heartbeat', 'right', 'promotion', 'sure', 'lower', 'area', 'line', 'special']","['We would stay here again', 'We would stay here again', 'I would stay here again!']"
39,38,58,38_concierge_helpful_suggestions_reservations,"['concierge', 'helpful', 'suggestions', 'reservations', 'us', 'extremely', 'information', 'wealth', 'making', 'hold']","['concierge', 'service', 'assisting', 'friendly', 'helped', 'especialy', 'booking', 'helpful', 'suggestions', 'budgeting']","['concierge', 'helpful', 'suggestions', 'reservations', 'us', 'extremely', 'information', 'wealth', 'making', 'hold']","['concierge', 'helpful', 'suggestions', 'reservations', 'information', 'wealth', 'hold', 'knowledgeable', 'mark', 'dinner']","['Concierge service was great', 'The Concierge were very helpful', 'Helpful concierge']"
40,39,57,39_bill_fixed_phone_me,"['bill', 'fixed', 'phone', 'me', 'issue', 'call', 'called', 'fix', 'they', 'day']","['bill', 'checking', 'check', 'paying', 'charges', 'complaint', 'reviewing', 'queue', 'charge', 'credit']","['bill', 'fixed', 'phone', 'me', 'issue', 'call', 'called', 'fix', 'they', 'day']","['bill', 'phone', 'issue', 'call', 'minutes', 'engineer', 'speed', 'one', 'maintenance', 'days']","['I was in a rush and it seemed as though no one expected me to check the bill', 'I said to them make bill 3 hours before check out', 'Always check your bill']"
41,40,55,40_carlton_ritz_charlotte_at,"['carlton', 'ritz', 'charlotte', 'at', 'stayed', 'central', 'wedding', 'gruppe', 'ihren', 'häusern']","['carlton', 'carltons', 'ritz', 'hotels', 'staying', 'stayed', 'sanfrancisco', 'charlotte', 'chicago', 'central']","['carlton', 'ritz', 'charlotte', 'at', 'stayed', 'central', 'wedding', 'gruppe', 'ihren', 'häusern']","['central', 'wedding', 'park', 'customer', 'poor', 'weekend', 'service', 'hotels', 'der', 'schläft']","['Overall, I would definitely stay at this Ritz Carlton again!', 'I stayed in this Ritz Carlton for 4 nights with my family', 'I had an amazing time at the Ritz Carlton']"
