sentence_split_ID,sentence_split_text
11_57593b7d87a3183ef8bb7e2948816414846ed234636ba35fe1df3e80c6e604b2,free ride bus downtown seattle 7pm everyday
0_098372cbc5ddea7689b0de8234886c1cb3c285ab63b3e5821cec591dc569989d,great location stayed property times
1_098372cbc5ddea7689b0de8234886c1cb3c285ab63b3e5821cec591dc569989d,like hotel location
2_098372cbc5ddea7689b0de8234886c1cb3c285ab63b3e5821cec591dc569989d,hotel walking distance pike market al shopping seattle.the hotel parking pay small fee nightly rate payed 99
3_098372cbc5ddea7689b0de8234886c1cb3c285ab63b3e5821cec591dc569989d,rooms clean good beds
4_098372cbc5ddea7689b0de8234886c1cb3c285ab63b3e5821cec591dc569989d,experienced problems stays
0_c2924d70eef6bbc84aefd9ff3b541f861bd66bc8ed8ed846c095c323281a97ac,budget booked hotel weekend november recommendation clean spartan room travel book not expecting seriously whelmed
1_c2924d70eef6bbc84aefd9ff3b541f861bd66bc8ed8ed846c095c323281a97ac,room old tired felt dirty
2_c2924d70eef6bbc84aefd9ff3b541f861bd66bc8ed8ed846c095c323281a97ac,slept fully clothed wore socks times
3_c2924d70eef6bbc84aefd9ff3b541f861bd66bc8ed8ed846c095c323281a97ac,shower gross sink toilet new clean
4_c2924d70eef6bbc84aefd9ff3b541f861bd66bc8ed8ed846c095c323281a97ac,pillows felt filled cotton balls bed creaked squeaked slightest movement did walls carpet stained did not feel lock door work
5_c2924d70eef6bbc84aefd9ff3b541f861bd66bc8ed8ed846c095c323281a97ac,faced lovely strip club
6_c2924d70eef6bbc84aefd9ff3b541f861bd66bc8ed8ed846c095c323281a97ac,noise outside hotel expected downtown location noise inside hotel obscene
7_c2924d70eef6bbc84aefd9ff3b541f861bd66bc8ed8ed846c095c323281a97ac,people banging door 3 morning party room not mention felt right bed
8_c2924d70eef6bbc84aefd9ff3b541f861bd66bc8ed8ed846c095c323281a97ac,walls general paper hear neighbours conversations watching tv.some staff friendly not sharpest location great walk
9_c2924d70eef6bbc84aefd9ff3b541f861bd66bc8ed8ed846c095c323281a97ac,not reccomend embarresed say stayed
0_9a2785a0534d1183235c18832e64b7820dd6fd22017ddc55bc8c67644c16d939,sixth ave good budget choice downtown really enjoyed stay sixth ave inn
1_9a2785a0534d1183235c18832e64b7820dd6fd22017ddc55bc8c67644c16d939,room appeared newly renovated spacious modern
2_9a2785a0534d1183235c18832e64b7820dd6fd22017ddc55bc8c67644c16d939,hotel good location exploring seattle..we walked pikes place market 10 minutes downtown stores closer
3_9a2785a0534d1183235c18832e64b7820dd6fd22017ddc55bc8c67644c16d939,hotel restaurant gem..great food good prices nicer atmosphere expected
4_9a2785a0534d1183235c18832e64b7820dd6fd22017ddc55bc8c67644c16d939,hotel parking charge 10 night good downtown hotel
5_9a2785a0534d1183235c18832e64b7820dd6fd22017ddc55bc8c67644c16d939,definately stay seattle
0_b5dc2067823d1652d94009db6cef751fe0bb23ded6f93da75340ee39cfaed5da,watch bait-and-switch room rates
1_b5dc2067823d1652d94009db6cef751fe0bb23ded6f93da75340ee39cfaed5da,rooms acceptable
2_b5dc2067823d1652d94009db6cef751fe0bb23ded6f93da75340ee39cfaed5da,having restaurant bar attached hotel helpful
3_b5dc2067823d1652d94009db6cef751fe0bb23ded6f93da75340ee39cfaed5da,booked rooms hotels thankfully printed email confirmations showing rates.since initially no doubles available reserved single queen rollaway bed order sisters share room
4_b5dc2067823d1652d94009db6cef751fe0bb23ded6f93da75340ee39cfaed5da,arrived room queen beds cancelled rollaway.when checked management version rates 30 higher night room
5_b5dc2067823d1652d94009db6cef751fe0bb23ded6f93da75340ee39cfaed5da,certainly understand days multiple coupons memberships discounts misunderstanding occur
6_b5dc2067823d1652d94009db6cef751fe0bb23ded6f93da75340ee39cfaed5da,issue email printout took minutes convince fairly hostile desk adjust final bill.after returned home checked visa addition room charges single 34 charge
7_b5dc2067823d1652d94009db6cef751fe0bb23ded6f93da75340ee39cfaed5da,turns never-seen never-used rollaway
8_b5dc2067823d1652d94009db6cef751fe0bb23ded6f93da75340ee39cfaed5da,having lengthy discussion long-distance phone called visa disputed charge.ok hotel bad management
0_54e7e3f44eb753257dcdba14ebe2346fa32cd2cc20b3d5cb1918b3bb710dcbb6,affordable great location price boyfriend stayed 2 nights weekend getaway seattle 80us night needed
1_54e7e3f44eb753257dcdba14ebe2346fa32cd2cc20b3d5cb1918b3bb710dcbb6,staff friendly room clean
2_54e7e3f44eb753257dcdba14ebe2346fa32cd2cc20b3d5cb1918b3bb710dcbb6,great budget hotel felt safe
3_54e7e3f44eb753257dcdba14ebe2346fa32cd2cc20b3d5cb1918b3bb710dcbb6,parking hotel 8/day
4_54e7e3f44eb753257dcdba14ebe2346fa32cd2cc20b3d5cb1918b3bb710dcbb6,barely spent time room choose hotel convenient location things wanted
5_54e7e3f44eb753257dcdba14ebe2346fa32cd2cc20b3d5cb1918b3bb710dcbb6,walking distance mcdonalds starbucks shopping centres short driving distances space needle emp
6_54e7e3f44eb753257dcdba14ebe2346fa32cd2cc20b3d5cb1918b3bb710dcbb6,thing did n't like uncomfortably flat pillows bed
7_54e7e3f44eb753257dcdba14ebe2346fa32cd2cc20b3d5cb1918b3bb710dcbb6,got corner suite cold went play heating warmed
8_54e7e3f44eb753257dcdba14ebe2346fa32cd2cc20b3d5cb1918b3bb710dcbb6,aside great value
9_54e7e3f44eb753257dcdba14ebe2346fa32cd2cc20b3d5cb1918b3bb710dcbb6,2 recommendations loves bubble tea try gossip bubbletea chinatown
10_54e7e3f44eb753257dcdba14ebe2346fa32cd2cc20b3d5cb1918b3bb710dcbb6,tons bubble tea vancouver gossip best
11_54e7e3f44eb753257dcdba14ebe2346fa32cd2cc20b3d5cb1918b3bb710dcbb6,thank previous posters board tip vegetarian lovers try araya thai vegetarian cuisine
12_54e7e3f44eb753257dcdba14ebe2346fa32cd2cc20b3d5cb1918b3bb710dcbb6,great price nice atmosphere generous portions
0_9f5749e44a248c1bbe0766d1f86e256cc64551c1d5e2a1a2465d1ea1bd6a864f,basic hotel basic needs hotel perfect young travellers just need place sleep no needs far that.the rooms basic clean beds comfortable bathrooms clean hot water small showers desk staff friendly helpful not
1_9f5749e44a248c1bbe0766d1f86e256cc64551c1d5e2a1a2465d1ea1bd6a864f,essentially star hotel fair square.bring earplugs walls paper constant noise street rooms
2_9f5749e44a248c1bbe0766d1f86e256cc64551c1d5e2a1a2465d1ea1bd6a864f,just people room moving awake night creates loud creaking thumping sound step take.the area so-so
3_9f5749e44a248c1bbe0766d1f86e256cc64551c1d5e2a1a2465d1ea1bd6a864f,walking distance main areas attractions cab rides short cheap central location n't want walking immediate area surrounding hotel.the best feature hotel restaurant
4_9f5749e44a248c1bbe0766d1f86e256cc64551c1d5e2a1a2465d1ea1bd6a864f,staff amazingly friendly attentive fast
5_9f5749e44a248c1bbe0766d1f86e256cc64551c1d5e2a1a2465d1ea1bd6a864f,service notch
6_9f5749e44a248c1bbe0766d1f86e256cc64551c1d5e2a1a2465d1ea1bd6a864f,food great
7_9f5749e44a248c1bbe0766d1f86e256cc64551c1d5e2a1a2465d1ea1bd6a864f,n't expect gourmet cusine hotel callibre
8_9f5749e44a248c1bbe0766d1f86e256cc64551c1d5e2a1a2465d1ea1bd6a864f,homestyle american food good oversized portions perfect sharing
9_9f5749e44a248c1bbe0766d1f86e256cc64551c1d5e2a1a2465d1ea1bd6a864f,stay hotel bring earplugs
0_894a56cdcf5a3a326473af33836cad68b7d7bde1d962ca3137028ca7ff2cb662,average experience rooms sixth avenue inn included delta weekend getaway package seattle
1_894a56cdcf5a3a326473af33836cad68b7d7bde1d962ca3137028ca7ff2cb662,centrally located inn not hotel choose nor seek again.the property old showing age
2_894a56cdcf5a3a326473af33836cad68b7d7bde1d962ca3137028ca7ff2cb662,rooms cramped dark
3_894a56cdcf5a3a326473af33836cad68b7d7bde1d962ca3137028ca7ff2cb662,furnishings uncomfortable extremely hard beds rickety wicker patio furniture used place conventional chairs
4_894a56cdcf5a3a326473af33836cad68b7d7bde1d962ca3137028ca7ff2cb662,high speed internet access provided 10.00 day port wired wall does not extend tiny nearby desk making computers difficult use
5_894a56cdcf5a3a326473af33836cad68b7d7bde1d962ca3137028ca7ff2cb662,pay-as-you-go terminal lobby slow crippled worth money
6_894a56cdcf5a3a326473af33836cad68b7d7bde1d962ca3137028ca7ff2cb662,not place stay plan work room.the desk staff helpful needed fax refax documents.breakfast restaurant surprisingly hearty not seek lived seattle
7_894a56cdcf5a3a326473af33836cad68b7d7bde1d962ca3137028ca7ff2cb662,breakfast not included room.in end property not best choice business vacation users good solution young people looking inexpensive rooms heart seattle
0_e1cefb295ea3e473612640883759ec1d6a8ae9e0d4d8f61ca9ce1db603262625,great value excellent staff 6th ave inn does n't look like special given hotels thatsurround
1_e1cefb295ea3e473612640883759ec1d6a8ae9e0d4d8f61ca9ce1db603262625,low rise concrete motel like facade
2_e1cefb295ea3e473612640883759ec1d6a8ae9e0d4d8f61ca9ce1db603262625,n't fooled this.the hotel offers good value money right downtown seattle.plus points good rates locationhigh speed internet access rooms pay wifi lobby restaurant.good cozy bar excellent value restaurant.excellent helpful friendly staffminus points rooms little care wornmaid service little erratic friendly.overall excellent
3_e1cefb295ea3e473612640883759ec1d6a8ae9e0d4d8f61ca9ce1db603262625,staff makes breaks hotel people atthe 6th ave inn not faulted
4_e1cefb295ea3e473612640883759ec1d6a8ae9e0d4d8f61ca9ce1db603262625,desk/restaurant staff aresuperbbest tips try joe special breakfast food week seattle great public transport
5_e1cefb295ea3e473612640883759ec1d6a8ae9e0d4d8f61ca9ce1db603262625,n't pay 35 taxi airport
6_e1cefb295ea3e473612640883759ec1d6a8ae9e0d4d8f61ca9ce1db603262625,ride 194 stops westlake centre shortwalk hotel 1.25 peak 2.00 peak fare just quick plan trips n't easier certainly
0_26b511169654258c51ed4e05d3e3e1c0c8ff441655290dffeeaf85c0b2cc495c,o.k
1_26b511169654258c51ed4e05d3e3e1c0c8ff441655290dffeeaf85c0b2cc495c,place price recently stayed oct. 2004 4 nights
2_26b511169654258c51ed4e05d3e3e1c0c8ff441655290dffeeaf85c0b2cc495c,trip seattle not familiar area hotel
3_26b511169654258c51ed4e05d3e3e1c0c8ff441655290dffeeaf85c0b2cc495c,price 70 night room fair improvements nice hotel.upon arriving noticed hallways funny smell rooms clean
4_26b511169654258c51ed4e05d3e3e1c0c8ff441655290dffeeaf85c0b2cc495c,bathroom small hard 2 people ready
5_26b511169654258c51ed4e05d3e3e1c0c8ff441655290dffeeaf85c0b2cc495c,no mirror dresser difficult ready room husband showered
6_26b511169654258c51ed4e05d3e3e1c0c8ff441655290dffeeaf85c0b2cc495c,needed extra towels set person provided extras dresser
7_26b511169654258c51ed4e05d3e3e1c0c8ff441655290dffeeaf85c0b2cc495c,pillows lumpy no iron board room arrived.front desk staff accomodating helpful
8_26b511169654258c51ed4e05d3e3e1c0c8ff441655290dffeeaf85c0b2cc495c,ate restaurant twice good food service slow
9_26b511169654258c51ed4e05d3e3e1c0c8ff441655290dffeeaf85c0b2cc495c,ordered long island iced tea strong
10_26b511169654258c51ed4e05d3e3e1c0c8ff441655290dffeeaf85c0b2cc495c,tried bartender fix handed sweet sour wash
11_26b511169654258c51ed4e05d3e3e1c0c8ff441655290dffeeaf85c0b2cc495c,did n't drink not charged commented not order kind drink ca n't handle liquor not say patron paying meals drinks.overall recommend short stay days nicer places located heart downtown want pay bit
0_4c94fb5771c387f151656e09980221080dcd5eb761667104562a863b82cf79d4,disappointed sixth avenue inn nice place stay changes
1_4c94fb5771c387f151656e09980221080dcd5eb761667104562a863b82cf79d4,staff hotel nice tried helpful
2_4c94fb5771c387f151656e09980221080dcd5eb761667104562a863b82cf79d4,not stay sixth avenue inn nor recommend stay
3_4c94fb5771c387f151656e09980221080dcd5eb761667104562a863b82cf79d4,significant changes need
4_4c94fb5771c387f151656e09980221080dcd5eb761667104562a863b82cf79d4,assigned smoking room room
5_4c94fb5771c387f151656e09980221080dcd5eb761667104562a863b82cf79d4,not told room smoking room making reservation
6_4c94fb5771c387f151656e09980221080dcd5eb761667104562a863b82cf79d4,bed like marble slab
7_4c94fb5771c387f151656e09980221080dcd5eb761667104562a863b82cf79d4,pillows lumpy spotted/dirty small
8_4c94fb5771c387f151656e09980221080dcd5eb761667104562a863b82cf79d4,no extra blankets pillows room
9_4c94fb5771c387f151656e09980221080dcd5eb761667104562a863b82cf79d4,mistook bath towel hand towel towels small
10_4c94fb5771c387f151656e09980221080dcd5eb761667104562a863b82cf79d4,towels towels 1 person use
11_4c94fb5771c387f151656e09980221080dcd5eb761667104562a863b82cf79d4,requested ironing board cover board dirty totally grossed
12_4c94fb5771c387f151656e09980221080dcd5eb761667104562a863b82cf79d4,towel cover use
13_4c94fb5771c387f151656e09980221080dcd5eb761667104562a863b82cf79d4,hotel continuously understaffed
14_4c94fb5771c387f151656e09980221080dcd5eb761667104562a863b82cf79d4,hostess busboy running frantically restaurant sad watch try care guests
15_4c94fb5771c387f151656e09980221080dcd5eb761667104562a863b82cf79d4,maid service did n't come room late afternoon
16_4c94fb5771c387f151656e09980221080dcd5eb761667104562a863b82cf79d4,arriving shampoo bottle room opened looked like shampoo missing
17_4c94fb5771c387f151656e09980221080dcd5eb761667104562a863b82cf79d4,usually hotel problems just
18_4c94fb5771c387f151656e09980221080dcd5eb761667104562a863b82cf79d4,bad nice hotel
0_8a5430d57aa747a8aade321633ec2d326dec49f3f1619fdd02f252d9731d0828,recommed andra
1_8a5430d57aa747a8aade321633ec2d326dec49f3f1619fdd02f252d9731d0828,grew seattle moved away years
2_8a5430d57aa747a8aade321633ec2d326dec49f3f1619fdd02f252d9731d0828,recommend andra friends family visit andra hippest hotel town best rooms.i recently stayed march birthday/st
3_8a5430d57aa747a8aade321633ec2d326dec49f3f1619fdd02f252d9731d0828,patrick day
4_8a5430d57aa747a8aade321633ec2d326dec49f3f1619fdd02f252d9731d0828,booked one-bedroom corner suite screaming deal spring seattle 369 night yes suite 400 spring seattle
5_8a5430d57aa747a8aade321633ec2d326dec49f3f1619fdd02f252d9731d0828,love hotel rooms
6_8a5430d57aa747a8aade321633ec2d326dec49f3f1619fdd02f252d9731d0828,ample space wonderful decor comfy chenille blankie
7_8a5430d57aa747a8aade321633ec2d326dec49f3f1619fdd02f252d9731d0828,flat-panel televisions.i similar suites westin fairmont price paid price andra andra wins hands-down
8_8a5430d57aa747a8aade321633ec2d326dec49f3f1619fdd02f252d9731d0828,bathrooms think totally awesome
9_8a5430d57aa747a8aade321633ec2d326dec49f3f1619fdd02f252d9731d0828,love original tile bathroom floor love ample lighting bathroom esp nightlight
10_8a5430d57aa747a8aade321633ec2d326dec49f3f1619fdd02f252d9731d0828,let talk desk
11_8a5430d57aa747a8aade321633ec2d326dec49f3f1619fdd02f252d9731d0828,compliments outfit immediately wins brownie points
0_281da80126c0591f94452e44cfe098e4ffe62354445a7fa4c9cbfdfa868db632,love andra
1_281da80126c0591f94452e44cfe098e4ffe62354445a7fa4c9cbfdfa868db632,updated trendy hotel perfect location
2_281da80126c0591f94452e44cfe098e4ffe62354445a7fa4c9cbfdfa868db632,stayed andra times great experience
3_281da80126c0591f94452e44cfe098e4ffe62354445a7fa4c9cbfdfa868db632,rooms updated clean spacious
4_281da80126c0591f94452e44cfe098e4ffe62354445a7fa4c9cbfdfa868db632,staff friendly helpful
5_281da80126c0591f94452e44cfe098e4ffe62354445a7fa4c9cbfdfa868db632,restaurant convenient choices food vacinity
6_281da80126c0591f94452e44cfe098e4ffe62354445a7fa4c9cbfdfa868db632,prefer stay andra anytime seattle
0_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,not quite title review basically sums recent stay andra
1_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,overall satisfied stay got deep discount left wondering listed small luxury hotels world.we lux king corner suite suite quite spacious quiet did restful sleep
2_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,beds/linens soft comfortable brought extra pillows requested
3_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,plenty storage suite 2 closets set drawers plus generously-sized night tables plus.however sofa disappointing cheap construction sagging middle fairly uncomfortable sit watch tv
4_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,armchair seriously needed recovering edges worn dirty frayed
5_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,suite overhaul soon noticed chipped paint plus chipped scratched furniture
6_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,carpets felt bit grimy overall feeling room cleaner.the bathroom small knew going having read past reviews
7_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,did not bother adequate shelves storage
8_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,like soaking tub forget
9_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,tub low overflow drain obviously designed hates baths
10_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,5'2 not big maximum water level came lower abdomen
11_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,reclined trying soak water kept draining gave 5 minutes
12_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,shower pressure good tons hot water time day
13_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,face stockholm amenities delicious subtle white tea fragrance bottles size postage stamps cheap luxury hotel
14_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,staff happy send tiring request daily basis.the staff 20-30 somethings pleasant eager
15_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,feel not achieved luxury level service
16_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,simple request sent seattle times v. new york times like read local news
17_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,daily basis received new york times credit swiftly replaced seattle times request n't asking 4 days row
18_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,time asked desk person reconfirm reservation concierge left looked like handed dead fish
19_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,nitpicking expect maybe motel 6 v. luxury hotel
20_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,actually place andra slightly 3 star hotel not luxury level
21_3e58d431ba2bf6fb140363ed2580fbada9c0a5cc4b9424aa1ce74a4601260376,staff accomodating pleasant room ok. stay got low rate not stay pay high season rate approx 480.00 felt service room not worth
0_0e629b38fbb050fe7562ceb678be02c1e4b3ab8fca7fb482c9a07d14f293f5e4,okay amazing lost bags
1_0e629b38fbb050fe7562ceb678be02c1e4b3ab8fca7fb482c9a07d14f293f5e4,stayed friend wedding
2_0e629b38fbb050fe7562ceb678be02c1e4b3ab8fca7fb482c9a07d14f293f5e4,high expectations going hotel not impressed checked
3_0e629b38fbb050fe7562ceb678be02c1e4b3ab8fca7fb482c9a07d14f293f5e4,rooms small cramped
4_0e629b38fbb050fe7562ceb678be02c1e4b3ab8fca7fb482c9a07d14f293f5e4,bathrooms small
5_0e629b38fbb050fe7562ceb678be02c1e4b3ab8fca7fb482c9a07d14f293f5e4,stayed sheraton seattle previous nights paid price far impressed accommodations sheraton better accommodations bigger rooms bigger bathrooms cleaner upscale.during checkout checked bags hotel lunch
6_0e629b38fbb050fe7562ceb678be02c1e4b3ab8fca7fb482c9a07d14f293f5e4,came bags nobody able
7_0e629b38fbb050fe7562ceb678be02c1e4b3ab8fca7fb482c9a07d14f293f5e4,ended having ask bellboy basement bags not ended finding locked random room basement
8_0e629b38fbb050fe7562ceb678be02c1e4b3ab8fca7fb482c9a07d14f293f5e4,staff pretty worthless bags lost
0_ac567528e24601131a718065228fccd700602bd2c7612214270d5a22ee216bd1,favorite hotel work responsibilities taken seattle 4-6 times year years stayed hotel andra dozen times 2-5 nights stay
1_ac567528e24601131a718065228fccd700602bd2c7612214270d5a22ee216bd1,time period travel extensively domestically internationally favorite hotel
2_ac567528e24601131a718065228fccd700602bd2c7612214270d5a22ee216bd1,apart superb location seam downtown seattle bell town wonderful restaurants location not beat view non-convention style hotel contemporary furnishings comfortable beds efficient workspaces easy internet access excellent restaurants accessible lobby
3_ac567528e24601131a718065228fccd700602bd2c7612214270d5a22ee216bd1,breakfasts lola just outstanding assaggio terrific italian place dinner street excellent lunch dinner dahlia lounge
4_ac567528e24601131a718065228fccd700602bd2c7612214270d5a22ee216bd1,staff particularly friendly responsive happy accommodate reasonable requests favors
5_ac567528e24601131a718065228fccd700602bd2c7612214270d5a22ee216bd1,not news junkie really value fact ask presto free copy new york times including sunday
6_ac567528e24601131a718065228fccd700602bd2c7612214270d5a22ee216bd1,door morning
0_0ab97b89cd65c568e76be4df1f144f499684db4e720226844981f65a8f2d7167,great stay
1_0ab97b89cd65c568e76be4df1f144f499684db4e720226844981f65a8f2d7167,just returned home great stay andra
2_0ab97b89cd65c568e76be4df1f144f499684db4e720226844981f65a8f2d7167,travelling single woman business like andra great safe location easily walk shopping restaurants business district
3_0ab97b89cd65c568e76be4df1f144f499684db4e720226844981f65a8f2d7167,staff welcoming check-in acknowledged returned end work day
